<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
EURRUB,D,20200902,000000,87.5600000,89.6288000,87.2848000,89.1320000,278602
EURRUB,D,20200903,000000,89.0680000,89.5517000,88.5940000,88.9330000,342368
EURRUB,D,20200904,000000,89.2020000,89.4329000,88.7013000,89.1330000,300472
EURRUB,D,20200906,000000,89.0900000,89.4360000,88.8370000,89.2150000,82
EURRUB,D,20200907,000000,88.9010000,90.0901000,88.8680000,89.3615000,190687
EURRUB,D,20200908,000000,89.3617000,90.2553000,89.2627000,89.7510000,321908
EURRUB,D,20200909,000000,89.7400000,90.0020000,88.6130000,88.8790000,335551
EURRUB,D,20200910,000000,88.8530000,89.4663000,88.5300000,88.8990000,271375
EURRUB,D,20200911,000000,88.8280000,89.0550000,88.4000000,88.5960000,314203
EURRUB,D,20200913,000000,88.8150000,88.8150000,88.5140000,88.7350000,82
EURRUB,D,20200914,000000,88.7420000,89.6571000,88.3473000,89.1512000,210193
EURRUB,D,20200915,000000,89.2730000,89.5386000,88.6627000,88.7680000,186884
EURRUB,D,20200916,000000,88.7440000,89.1160000,88.1970000,88.1970000,237114
EURRUB,D,20200917,000000,88.3890000,89.1650000,87.9550000,88.5090000,256298
EURRUB,D,20200918,000000,88.8320000,89.7505000,88.5610000,89.6210000,216535
EURRUB,D,20200920,000000,89.5300000,89.8420000,89.3145000,89.4610000,79
EURRUB,D,20200921,000000,89.4410000,90.3890000,88.8020000,89.2787000,376222
EURRUB,D,20200922,000000,89.2787000,89.7574000,88.7150000,89.0490000,397563
EURRUB,D,20200923,000000,89.0170000,89.9905000,88.5670000,89.5630000,379200
EURRUB,D,20200924,000000,89.5920000,90.2239000,89.3170000,89.9640000,372927
EURRUB,D,20200925,000000,89.9720000,91.2426000,89.4190000,90.8240000,368041
EURRUB,D,20200927,000000,90.9590000,91.0277000,90.5360000,90.7790000,89
EURRUB,D,20200928,000000,90.7870000,92.4490000,90.6911000,92.2670000,288640
EURRUB,D,20200929,000000,92.2691000,93.3081000,91.9220000,92.4140000,371928
EURRUB,D,20200930,000000,92.4200000,93.1445000,90.8360000,90.8610000,328600
EURRUB,D,20201001,000000,91.0900000,91.3310000,90.0540000,90.7180000,247696
EURRUB,D,20201002,000000,90.4870000,92.2312000,90.3320000,91.6070000,342802
EURRUB,D,20201004,000000,91.6030000,91.7880000,91.3210000,91.4832000,84
EURRUB,D,20201005,000000,91.4801000,92.7478000,91.2199000,91.9722000,259106
EURRUB,D,20201006,000000,91.9722000,92.6866000,91.5768000,92.0026000,292588
EURRUB,D,20201007,000000,92.0026000,92.3358000,91.5949000,91.7659000,280077
EURRUB,D,20201008,000000,91.6962000,91.9610000,90.7780000,90.8466000,239921
EURRUB,D,20201009,000000,90.8466000,91.1911000,90.4587000,90.6940000,252863
EURRUB,D,20201011,000000,90.7850000,90.9180000,90.5100000,90.5380000,87
EURRUB,D,20201012,000000,90.7860000,91.1660000,90.4940000,90.9870000,187713
EURRUB,D,20201013,000000,90.5800000,91.2228000,90.2900000,90.3705000,257836
EURRUB,D,20201014,000000,90.3699000,91.4250000,90.3105000,91.3740000,254742
EURRUB,D,20201015,000000,91.4000000,91.8280000,91.1125000,91.2790000,269063
EURRUB,D,20201016,000000,91.1730000,91.7957000,91.0515000,91.1020000,245550
EURRUB,D,20201018,000000,91.2210000,91.3270000,90.8060000,91.1170000,101
EURRUB,D,20201019,000000,91.1400000,91.7370000,90.8740000,91.3310000,268501
EURRUB,D,20201020,000000,91.3450000,92.1702000,91.0380000,91.3178000,286492
EURRUB,D,20201021,000000,91.3140000,91.5890000,90.7481000,90.9080000,320346
EURRUB,D,20201022,000000,90.8990000,91.7660000,90.2398000,90.4340000,312306
EURRUB,D,20201023,000000,90.3519000,90.7368000,90.0745000,90.2760000,270402
EURRUB,D,20201025,000000,90.2510000,90.3760000,90.0330000,90.3620000,2438
EURRUB,D,20201026,000000,90.2360000,90.6180000,89.7788000,90.0670000,270356
EURRUB,D,20201027,000000,90.2600000,91.3170000,90.1190000,90.9782000,159149
EURRUB,D,20201028,000000,90.9691000,93.0868000,90.8392000,92.8288000,396194
EURRUB,D,20201029,000000,92.7200000,93.3994000,91.7710000,91.8630000,376260
EURRUB,D,20201030,000000,92.0390000,92.8610000,91.7822000,92.5080000,358169
EURRUB,D,20201101,000000,91.6830000,92.8170000,91.6830000,92.1310000,152
EURRUB,D,20201102,000000,92.1610000,94.1279000,92.1610000,93.8630000,346451
EURRUB,D,20201103,000000,93.3590000,93.9890000,92.4365000,92.8260000,246166
EURRUB,D,20201104,000000,92.9590000,93.1140000,90.6227000,90.8879000,14618
EURRUB,D,20201105,000000,90.8879000,92.4529000,90.3080000,90.7708000,434479
EURRUB,D,20201106,000000,90.7756000,92.4922000,90.5550000,91.8110000,374792
EURRUB,D,20201108,000000,91.9030000,92.3130000,91.8702000,91.9180000,90
EURRUB,D,20201109,000000,91.9010000,92.1320000,89.7199000,90.0020000,193856
EURRUB,D,20201110,000000,90.2350000,90.8424000,89.9015000,90.2642000,393548
EURRUB,D,20201111,000000,90.2652000,90.8680000,89.5674000,90.4840000,312236
EURRUB,D,20201112,000000,90.4850000,91.4641000,90.2290000,91.0850000,344870
EURRUB,D,20201113,000000,91.1090000,91.8935000,90.6960000,91.3240000,238287
EURRUB,D,20201115,000000,91.5140000,91.6650000,91.4311000,91.6650000,93
EURRUB,D,20201116,000000,91.4230000,91.6730000,90.1080000,90.3470000,245987
EURRUB,D,20201117,000000,90.3469000,90.9903000,90.1690000,90.4340000,320941
EURRUB,D,20201118,000000,90.4330000,90.6590000,89.6760000,89.9121000,310898
EURRUB,D,20201119,000000,89.9118000,90.7860000,89.7398000,90.7000000,368814
EURRUB,D,20201120,000000,90.3320000,90.9360000,90.0000000,90.0720000,283196
EURRUB,D,20201122,000000,90.5050000,90.5050000,90.0620000,90.3559000,3668
EURRUB,D,20201123,000000,90.3559000,90.6160000,89.6669000,90.0070000,262123
EURRUB,D,20201124,000000,90.0010000,90.4552000,89.4735000,89.6684000,262017
EURRUB,D,20201125,000000,89.6720000,90.4337000,89.6063000,89.9350000,303660
EURRUB,D,20201126,000000,90.0900000,90.2460000,89.8514000,90.0516000,161566
EURRUB,D,20201127,000000,90.0593000,90.9951000,89.9500000,90.9080000,205904
EURRUB,D,20201129,000000,90.7080000,91.2560000,90.6310000,90.7500000,190
EURRUB,D,20201130,000000,90.6950000,91.5848000,90.6600000,91.0761000,327683
EURRUB,D,20201201,000000,91.0761000,91.8450000,90.5760000,91.6510000,331147
EURRUB,D,20201202,000000,91.6020000,91.8080000,90.6480000,90.8380000,319647
EURRUB,D,20201203,000000,91.0000000,91.3737000,90.1405000,90.2450000,327025
EURRUB,D,20201204,000000,90.5060000,90.6890000,89.5320000,89.6990000,310418
EURRUB,D,20201206,000000,89.6650000,90.0170000,89.5160000,89.7121000,805
EURRUB,D,20201207,000000,89.7106000,90.1590000,88.9321000,89.3550000,299038
EURRUB,D,20201208,000000,89.3040000,89.5250000,88.5040000,88.6290000,275140
EURRUB,D,20201209,000000,88.8340000,89.4858000,88.6470000,88.9480000,269802
EURRUB,D,20201210,000000,88.9810000,89.3174000,88.3829000,88.6547000,297290
EURRUB,D,20201211,000000,88.6439000,88.9660000,88.2309000,88.3070000,298418
EURRUB,D,20201213,000000,88.4960000,88.8420000,88.4020000,88.5120000,70
EURRUB,D,20201214,000000,88.7580000,90.0260000,88.3320000,89.3870000,396354
EURRUB,D,20201215,000000,89.4050000,89.7382000,88.8185000,88.9799000,291937
EURRUB,D,20201216,000000,88.9804000,89.8559000,88.7784000,89.2890000,300204
EURRUB,D,20201217,000000,89.4550000,89.7170000,88.7690000,89.3600000,270429
EURRUB,D,20201218,000000,89.6370000,90.5279000,89.2040000,89.6940000,289440
EURRUB,D,20201220,000000,89.5690000,90.5890000,89.5690000,90.0865000,225
EURRUB,D,20201221,000000,90.0720000,91.8590000,89.9170000,91.4302000,322647
EURRUB,D,20201222,000000,91.4304000,92.4980000,91.2644000,92.4017000,299228
EURRUB,D,20201223,000000,92.4017000,92.5710000,91.0853000,91.4030000,265760
EURRUB,D,20201224,000000,91.5200000,91.7970000,89.8220000,90.0610000,181774
EURRUB,D,20201225,000000,90.2240000,90.5410000,89.7370000,90.2380000,241
EURRUB,D,20201227,000000,90.0770000,90.3790000,90.0770000,90.2200000,52
EURRUB,D,20201228,000000,90.3220000,90.6490000,89.7884000,90.0880000,190998
EURRUB,D,20201229,000000,90.7180000,90.8200000,89.8292000,90.3510000,206003
EURRUB,D,20201230,000000,90.5830000,92.1420000,90.0560000,91.4610000,232319
EURRUB,D,20201231,000000,91.4470000,92.4450000,90.1640000,90.1640000,92846
