<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
EURUSD000TOM,D,20201223,000000,1.2179600,1.2218600,1.2160000,1.2181000,60605000
EURUSD000TOM,D,20201224,000000,1.2205200,1.2209800,1.2177600,1.2206000,25079000
EURUSD000TOM,D,20201225,000000,1.2208600,1.2222400,1.2155000,1.2221300,70080000
EURUSD000TOM,D,20201228,000000,1.2215100,1.2300000,1.2193800,1.2205000,52088000
EURUSD000TOM,D,20201229,000000,1.2236100,1.2274000,1.2236000,1.2251000,46389000
EURUSD000TOM,D,20201230,000000,1.2278100,1.2320000,1.2254100,1.2293000,85803000
EURUSD000TOM,D,20210104,000000,1.2267900,1.2310000,1.2243600,1.2247000,5693000
EURUSD000TOM,D,20210105,000000,1.2273000,1.2306000,1.2251600,1.2298000,8135000
EURUSD000TOM,D,20210106,000000,1.2315500,1.2346900,1.2269700,1.2323000,9011000
EURUSD000TOM,D,20210108,000000,1.2261500,1.2283400,1.2193100,1.2222000,12241000
EURUSD000TOM,D,20210111,000000,1.2187600,1.2199900,1.2134800,1.2157600,49862000
EURUSD000TOM,D,20210112,000000,1.2159000,1.2206000,1.2137400,1.2205000,45570000
EURUSD000TOM,D,20210113,000000,1.2214900,1.2222000,1.2140000,1.2155600,54133000
EURUSD000TOM,D,20210114,000000,1.2150400,1.2177400,1.2110000,1.2162000,46740000
EURUSD000TOM,D,20210115,000000,1.2135100,1.2146900,1.2078000,1.2078500,24733000
EURUSD000TOM,D,20210118,000000,1.2081900,1.2087400,1.2055000,1.2082000,26641000
EURUSD000TOM,D,20210119,000000,1.2095600,1.2145000,1.2086200,1.2124000,46858000
EURUSD000TOM,D,20210120,000000,1.2152200,1.2157000,1.2077400,1.2103600,40459000
EURUSD000TOM,D,20210121,000000,1.2131000,1.2170000,1.2112000,1.2167000,43255000
EURUSD000TOM,D,20210122,000000,1.2162400,1.2186000,1.2153000,1.2169200,37792000
EURUSD000TOM,D,20210125,000000,1.2178000,1.2181200,1.2118600,1.2138800,36085000
