<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
USDRUB,D,20210803,000000,72.9656000,73.2250000,72.6300000,72.8710000,426126
USDRUB,D,20210804,000000,72.9360000,73.2920000,72.6530000,73.1500000,406750
USDRUB,D,20210805,000000,73.2386000,73.2850000,72.8660000,73.1476000,434186
USDRUB,D,20210806,000000,73.1562000,73.6624000,72.9399000,73.4860000,417098
USDRUB,D,20210808,000000,73.4860000,73.5549000,73.1480000,73.5229000,1578
USDRUB,D,20210809,000000,73.5226000,73.7009000,73.2710000,73.6014000,983602
USDRUB,D,20210810,000000,73.6195000,74.2427000,73.4480000,73.9591000,900958
USDRUB,D,20210811,000000,73.9635000,74.1385000,73.1400000,73.4113000,940072
USDRUB,D,20210812,000000,73.4097000,73.6764000,73.2290000,73.5081000,934566
USDRUB,D,20210813,000000,73.5074000,73.6526000,73.1076000,73.3190000,977713
USDRUB,D,20210815,000000,73.1700000,73.3150000,73.1700000,73.1982000,969
USDRUB,D,20210816,000000,73.1921000,73.4943100,73.0050000,73.1700000,857322
USDRUB,D,20210817,000000,73.2541000,73.9040000,73.1640000,73.5250000,1138071
USDRUB,D,20210818,000000,73.5908000,73.8930000,73.2995000,73.8567000,1053742
USDRUB,D,20210819,000000,73.8040000,74.9198000,73.7980000,74.2957000,1163605
USDRUB,D,20210820,000000,74.2993000,74.5880000,73.7126000,74.2550000,1041349
USDRUB,D,20210822,000000,74.2987000,74.3700000,73.9661000,74.2052000,3264
USDRUB,D,20210823,000000,74.2007000,74.3008000,73.7130000,74.0887000,890853
USDRUB,D,20210824,000000,74.0892000,74.1781000,73.3830000,73.7633000,947022
USDRUB,D,20210825,000000,73.7618000,74.0908100,73.6119000,73.8077000,882550
USDRUB,D,20210826,000000,73.8026000,74.4774000,73.5080000,74.2844000,964072
USDRUB,D,20210827,000000,74.2370000,74.3188000,72.7352000,73.4440000,978747
USDRUB,D,20210829,000000,73.5254000,73.6768000,73.1520000,73.2050000,6529
USDRUB,D,20210830,000000,73.4301000,73.8420000,73.1500000,73.3995000,683145
